,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,,
Geography,Category,Data Type,Unit,Currency Conversion,Current Constant,2018,2019,2020,2021,2022,2023
Bahrain,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,154.6","1,167.3","1,090.8","1,151.5","1,253.8","1,291.7"
Bahrain,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.6,123.7,123.5,123.3,128.8,134.5
Cameroon,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,498.2,502.4,534.3,606.8,574.5,653.4
Cameroon,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,130.6,132.7,135.9,135.9,137.0,149.3
Côte d'Ivoire,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,953.6,946.4,"1,043.9","1,195.0","1,154.2","1,332.0"
Côte d'Ivoire,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.8,111.6,123.8,129.1,136.3,140.7
Egypt,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,490.6","1,934.2","1,814.6","2,794.3","2,849.4","2,368.4"
Egypt,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,289.8,268.5,290.2,311.1,358.4,387.8
Ethiopia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,201.5,249.2,275.8,293.5,354.5,467.5
Ethiopia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,184.2,222.1,331.3,379.6,453.9,505.4
Ghana,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,414.6,458.2,407.8,426.0,396.6,470.3
Ghana,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,584.3,690.4,724.3,774.6,942.9,"1,007.1"
Iran,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,992.4","1,814.7","1,455.2","1,755.1","2,444.4","2,193.9"
Iran,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,506.7,595.9,740.0,"1,062.0","1,475.4","1,788.2"
Iraq,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"3,375.6","3,467.1","3,181.6","2,945.6","3,163.1","3,750.4"
Iraq,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.2,121.3,122.3,130.9,139.7,147.1
